product_parent_option_id,product_id,option_name
582,194,필요한날짜요청사항에
583,195,시안확인
584,195,다른 추가사항
585,195,선물포장
586,196,공지사항
587,196,금요일 출고 시
588,196,출고날짜지정
589,197,투명 플라워 쇼핑백
590,197,버전
591,197,배경 컬러
592,198,띠 컬러
593,198,실 컬러
594,198,스트랩
595,199,각인
596,199,디자인
597,199,밀크티베이스
598,200,우유추가
599,200,쇼핑백추가
600,200,보틀추가
601,201,포장형태
602,201,[추가] 소포장
603,201,상품선택
604,202,"선물포장,종이가방"
605,202,그림선택
606,202,배경(후기약속)
607,203,라인일러스트추가
608,203,레터링추가여부
609,203,인원수
610,204,반지호수
611,204,팔로우이벤트
612,204,두께
613,205,500g
614,205,종류 선택
615,205,포장 선택
616,206,무지개(첫번째줄)
617,206,무지개(두번째줄)
618,206,무지개(세번째줄)
619,207,무지개(네번째줄)
620,207,폼폼or리본추가
621,207,호루라기추가
622,208,비누망
623,208,선물포장
624,208,사이즈
625,209,발볼
626,209,색상
627,209,소재
628,210,모양
629,210,배송공지1
630,210,배송공지2
631,211,사이즈
632,211,포장
633,211,꽃추가
634,212,희망수령일
635,212,엽서 추가
636,212,드로잉 인원 수
637,213,디자인선택
638,213,새김형식
639,213,도장돌컬러
640,214,사이즈
641,214,언어선택
642,214,측면메세지추가
643,215,드로잉선택
644,215,문구여부
645,215,배경여부
646,216,색상
647,216,리본추가
648,216,태슬추가
649,217,스트랩추가
650,217,각인색상
651,217,금속색상
652,218,집으로 왕만두
653,218,사골추가
654,218,아이스박스
655,219,선물포장
656,219,상품선택
657,219,발송일
658,220,철판 하나 더
659,220,선택1
660,220,향
661,221,COLOR
662,221,알파벳추가
663,221,선물포장
664,222,캔들받침
665,222,목장애 수제치즈
666,222,포장
667,223,길이
668,223,길이조절체인
669,223,포트 선택
670,224,가방색상
671,224,바닥 색상
672,224,실리콘귀침선택
673,225,별자리선택
674,225,포장
675,225,낱개1개판매입니다
676,226,반지 사이즈
677,226,나무 종류
678,226,기본각인(서비스!)
679,227,안쪽 각인추가
680,227,큐빅 추가옵션
681,227,목걸이줄 추가
682,228,각인위치
683,228,각인폰트
684,228,컬러
685,229,고래종류
686,229,각인선택
687,229,인원
688,230,동물/인형/캐릭터
689,230,간단한 배경
690,230,이외 추가
691,231,수제그릭요거트
692,231,선물포장 선택
693,231,색상
694,232,치수
695,232,사이즈
696,232,굽높이
697,233,발볼
698,233,추가옵션 선택
699,233,선택
700,234,스테이크 중량선택
701,234,옵션1
702,234,※배송일정
703,235,인원수
704,235,사이즈
705,235,배경색
706,236,상담진행
707,236,색상
708,236,키링
709,237,크기
710,237,구성1○○
711,237,구성 1 ☆
712,238,구성2 ☆
713,238,사이즈
714,238,버전
715,239,유/무광
716,239,각인
717,239,컬러
718,240,글씨컬러
719,240,레터링컬러
720,240,선물용쇼핑백
721,241,용돈박스
722,241,꽃사이즈
723,241,왼쪽하트퍼즐고리
724,242,오른쪽하트퍼즐고리
725,242,하트퍼즐 각인선택
726,242,각인 글씨체 선택
727,243,일러스트원판추가
728,243,꼬리체인추가
729,243,디자인 선택
730,244,뒷마개 추가
731,244,세척천
732,244,케이스종류
733,245,기종
734,245,색상&글자수이벤트
