review_id,order_detail_id,user_id,product_id,review_content,review_date,review_rate
115,115,3119,12,"설날 지인줄 선물로 구입했어요. 커피를 좋아하는 화가인데, 개인화실에서 제가 그림을 배우고 있어서 뭘 선물할까 믾이 고민하다가, 수채화 물감을 모아놓은듯 너무 예쁜 케이스의 이 커피를 발견하고는 바로 이거다 싶었습니다. ^^ 일욜오전에 주문하고 월요일에 바로 받았어요. 어마어마한 배송 속도! 선물하고 저도 한잔 같이 마셨는데 부드럽고 맛있었습니다. 지인도 맛있다고 하고 케이스와 병들이 너무 예쁘다며 제 선물선택 센스를 칭찬해주었네요 ㅎㅎ 그리고 자기도 또 다른 지인에게 선물한다고해서 제가 하나더 주문해 주었습니다^^  보기만 해도 예쁜 케이스에 맛있는 커피. 선물로 딱인듯 합니다.",2021-02-16,50
116,116,3120,12,"예전에 부모님 생신선물로 드린적이 있는데, 매우 좋아하셨습니다. 이번에 어머님께서 감사한 분에게 선물 드리고 싶다고 말씀하시면서 제가 선물 드렸던 커피가 좋을 것 같다고 하셨습니다ㅎㅎ그래서 이번에도 좋은 선물이 될 수 있어 기쁩니다!!",2021-02-16,50
117,117,3121,12,"맛은 있는데 양이 한 잔도 안돼요😭 
물 150ml에 더치 30ml 넣으라고 써있던데 이건 25ml네여.... 너무 애매한 크기인 것 같아요.",2021-02-15,40
118,118,3122,12,선물 했는데 너무 좋아하셔서 구매하길 잘한것 같아용,2021-02-15,50
119,119,3123,12,선물했는데 너무 좋아했어요~ 맛은 물론이구 개별 포장이랑 겉에 쇼핑백까지 깔끔하고 예뻐요! 선물용으로 딱인 거 같아요!!,2021-02-15,50
120,120,3124,12,선물했는데 받은분이 너무 좋아하네요~,2021-02-14,50
121,121,3125,13,맛있어요,2021-02-18,50
122,122,3126,13,친구가 너무 좋아했어요~,2021-02-17,50
123,123,3127,13,"배송 잘 왔어요. 아이가 얼집 수료 앞두고 있어서 선생님들 선물로 샀는데 포장도 고급지고 좋습니다.
수료식날 잘 전달할게요^^",2021-02-17,50
124,124,3128,13,맛있어요 약간 진하네요~~  퀄리티 갠춘요,2021-02-17,45
125,125,3129,13,너무맛있어요 ^^,2021-02-16,50
126,126,3130,13,"매일 한잔씩 먹고 있어용! 

가성비 갑인 것 같아요~~!!

라떼, 아메리카노 다 맛있어요!",2021-02-14,50
